Date, Open, High, Low, Close
04/21/10, 11116.91, 11153.72, 11071.34, 11124.92
04/20/10, 11093.11, 11146.08, 11081.47, 11117.06
04/19/10, 11018.36, 11095.30, 10977.85, 11092.05
04/16/10, 11143.66, 11153.79, 10973.92, 11018.66
04/15/10, 11122.96, 11154.55, 11096.20, 11144.57
04/14/10, 11020.70, 11125.22, 11020.63, 11123.11
04/13/10, 11006.72, 11038.92, 10947.77, 11019.42
04/12/10, 10996.75, 11029.77, 10992.21, 11005.97
04/09/10, 10926.92, 11000.98, 10926.92, 10997.35
04/08/10, 10896.99, 10949.36, 10844.09, 10927.07
04/07/10, 10961.95, 10962.66, 10845.45, 10897.52
04/06/10, 10972.49, 10987.38, 10927.52, 10969.99
04/05/10, 10927.45, 10988.06, 10923.97, 10973.55
04/01/10, 10857.31, 10956.39, 10857.31, 10927.07
03/31/10, 10907.34, 10907.42, 10832.83, 10856.63
03/30/10, 10895.02, 10940.22, 10866.83, 10907.42
03/29/10, 10849.23, 10916.64, 10849.23, 10895.86
03/26/10, 10841.29, 10909.38, 10816.43, 10850.36
03/25/10, 10837.51, 10955.48, 10834.19, 10841.21
03/24/10, 10887.62, 10887.84, 10825.42, 10836.15
03/23/10, 10787.18, 10893.89, 10784.76, 10888.83
03/22/10, 10741.00, 10809.85, 10695.13, 10785.89
03/19/10, 10780.00, 10819.90, 10694.22, 10741.98
03/18/10, 10733.44, 10784.00, 10728.15, 10779.17
03/17/10, 10686.36, 10767.98, 10686.36, 10733.67
03/16/10, 10642.53, 10693.99, 10621.90, 10685.98
03/15/10, 10623.41, 10644.19, 10570.51, 10642.15
03/12/10, 10611.77, 10644.95, 10594.84, 10624.69
03/11/10, 10560.98, 10611.84, 10507.17, 10611.84
03/10/10, 10560.13, 10601.79, 10526.52, 10567.33
03/09/10, 10552.24, 10612.60, 10533.93, 10564.38
03/08/10, 10563.78, 10587.74, 10542.39, 10552.52
03/05/10, 10445.13, 10571.94, 10445.05, 10566.20
03/04/10, 10396.53, 10452.38, 10390.86, 10444.14
03/03/10, 10406.28, 10469.54, 10376.58, 10396.76
03/02/10, 10404.16, 10456.92, 10389.43, 10405.98
03/01/10, 10326.10, 10413.99, 10326.10, 10403.79
02/26/10, 10321.41, 10353.45, 10272.29, 10325.26
02/25/10, 10366.60, 10366.68, 10185.83, 10321.03
02/24/10, 10284.00, 10393.51, 10283.93, 10374.16
02/23/10, 10383.16, 10411.12, 10267.83, 10282.41
02/22/10, 10402.43, 10433.64, 10368.95, 10383.38
02/19/10, 10387.77, 10438.55, 10339.17, 10402.35
02/18/10, 10309.39, 10406.58, 10294.51, 10392.90
02/17/10, 10261.48, 10320.13, 10261.48, 10309.24
02/16/10, 10100.81, 10279.54, 10100.81, 10268.81
02/12/10, 10137.23, 10137.39, 9983.82, 10099.14
02/11/10, 10037.85, 10161.57, 9976.71, 10144.19
02/10/10, 10055.46, 10085.54, 9962.96, 10038.38
02/09/10, 9910.28, 10139.43, 9910.06, 10058.64
02/08/10, 10005.43, 10028.56, 9904.09, 9908.39
02/05/10, 10003.69, 10031.96, 9835.09, 10012.23
02/04/10, 10273.12, 10273.12, 9998.03, 10002.18
